,id,name,type,area,city,state,latitude,longitude
68,71e21191-39db-457b-9f2f-a20bd50efc9f,Aeon Wellness Taiping,Pharmacy,Jalan Kamunting,Taiping,Perak,,
69,2ad14d4b-597e-40c9-8df1-daf9467dd664,Aeon Welness Ipoh Klebang,Pharmacy,Klebang Perdana,Chemor,Perak,,
70,aefd38d1-e5f1-4fa3-8c3d-45a9456fa91c,Aeon Welness Ipoh Station 18,Pharmacy,Station 18,Ipoh,Perak,,
71,6083c6db-fced-418d-9e75-b4ceed266025,Aeon Wellness Kinta City,Pharmacy,Jalan Teh Lean Swee,Ipoh,Perak,,
72,297f9ba5-cb46-4858-849a-6f050885f457,Aeon Wellness Taiping Mall,Pharmacy,Jalan Tupai,Taiping,Perak,,
73,4af4083f-095d-4af2-843f-2469a9b4f00e,Aeon Wellness The Shore,Pharmacy,Jalan Persiaran Bunga Raya,Melaka,Melaka,,
74,84de7ccf-a130-41f6-88aa-221bfba7eb46,Aeon Wellness Mahkota Parade,Pharmacy,Mahkota Parade,Jalan Merdeka,Melaka,,
75,5da25952-d209-4f5c-afe5-c6db7f95841f,Aeon Wellness Bandaraya Melaka,Pharmacy,Jalan Legenda,Taman 1 Legenda,Melaka,,
76,5d92fb9d-ee09-4b3a-a950-f6178c12233e,Aeon Wellness Dataran Pahlawan Melaka,Pharmacy,Jalan Merdeka,Bandar Hilir,Melaka,,
77,3bcb6e4d-6a43-477c-96df-244276350e5b,Aeon Wellness Bukit Indah,Pharmacy,Bukit Indah,Johor Bahru,Johor,,
78,7ca526ba-e30c-49b1-998e-6371716f2584,Aeon Wellness Kulaijaya,Pharmacy,Bandar Indahpura,Kulaijaya,Johor,,
79,249aefc8-e1a8-4aac-920c-7ce361e55b0c,Aeon Wellness Medini Mall,Pharmacy,Medini Puteri,Iskandar Puteri,Johor,,
80,61f13874-2c37-4ba4-a30e-47a07b156942,Aeon Wellness Tebrau City,Pharmacy,Taman Desa Tebrau,Johor Bahru,Johor,,
81,85d03c01-249f-4829-aaf0-4cb0e051ac26,Aeon Wellness Bandar Dato Onn,Pharmacy,Bandar Dato Onn,Johor Bahru,Johor,,
82,b42e8acc-fb65-4ad3-ab42-8c96ef47facf,Aeon Wellness Permas Jaya,Pharmacy,Bandar Baru Permas Jaya,Johor Bahru,Johor,,
83,51cf8786-1f0d-4891-b878-c1188e855ee3,Aeon Wellness Tasek Central,Pharmacy,Jalan Pendekar 16,Skudai,Johor,,
84,86b7a45b-e110-4b95-8124-a8332bf2a248,Aeon Wellness Queensbay,Pharmacy,Bayan Indah,Bayan Lepas,Pulau Pinang,,
85,f12c0ff9-2998-4316-9533-08d989890f4a,Aeon Wellness Bukit Mertajam,Pharmacy,Seberang Perai Tengah,Bukit Mertajam,Pulau Pinang,,
86,db120f1d-b46d-4e31-b70f-9be1762bd61b,Aeon Wellness Big Penang Prai,Pharmacy,Seberang Jaya,Perai,Pulau Pinang,,
87,b8ae977b-972b-41ae-aa72-ca4a980ead83,Aeon Wellness Sunway Carnival Penang,Pharmacy,Pusat Bandar Seberang Jaya,Seberang Jaya,Pulau Pinang,,
88,182d3a71-6dbc-4ba6-bde4-a21303ca205d,Aeon Wellness Aman Central,Pharmacy,Aman Central,Alor Setar,Kedah,,
89,5cc87386-14fe-4781-9224-293ab5800426,Aeon Wellness Kota Bahru,Pharmacy,Lrmbah Sireh,Kota Bharu,Kelantan,,
90,3eb0e32e-963b-4f07-abbe-47a1df1ca3bc,Aeon Wellness Kuching Central,Pharmacy,Jalan Datuk Patinggi Ahmad Zaidi Adruce,Kuching,Sarawak,,
91,9a92586b-0f55-4dc8-b366-b2377010bb14,Aeon BiG Alor Setar,Hypermarket,Taman Wira Mergong,Alor Setar,Kedah,,
92,d056887b-2580-434d-8e99-24b83cbda9a5,Aeon BiG Ampang,Hypermarket,Taman Dagang Permai,Ampang,Kuala Lumpur,,
93,89b60a65-46fc-498a-9f55-2d7afdc272b6,Aeon BiG Bandar Tun Hussein Onn,Hypermarket,Bandar Tun Hussein Onn,Cheras,Selangor,,
94,010e9cc1-2de2-4e4d-b9c1-352fce068858,Aeon BiG Batu Pahat,Hypermarket,Taman Flora Utama,Batu Pahat,Johor,,
95,80524313-479a-4f16-a112-b152d7547fba,Aeon BiG Bukit Minyak,Hypermarket,Taman Bukit Minyak,Bukit Mertajam,Pulau Pinang,,
96,0a684300-4f31-4429-a757-7fc966db42c9,Aeon BiG Bukit Rimau,Hypermarket,Seksyen 32,Shah Alam,Selangor,,
97,8f452c54-7bc5-49ac-86da-9952b2f0dd3e,"Aeon BiG Falim, Ipoh",Hypermarket,Falim,Ipoh,Perak,,
98,69caea18-dc7e-484b-9476-71135e21bb43,Aeon BiG Kepong,Hypermarket,Taman Usahawan Kepong,Kepong,Kuala Lumpur,,
